ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009611,response to wounding,22/90,271/21198,0.08118081180811808,19.120787207872077,19.603929437394324,2.3098956654811074e-22,1.5776587395235963e-19,1.1014555120662544e-19,ATFKBP62/AMT1/KAT2/ACX1/ATHCHIB/ATRNS1/ATLOX2/IAR3/ATCHS/AOS/ATCHIA/4CL.1/AtDAHP1/AtLEA14/ATLOX1/ARAKIN/ATPAL2/ATPAL1/ATMAPK3/ATNPR1/AAS/ATOPR1,22
GO:0032787,monocarboxylic acid metabolic process,19/90,496/21198,0.038306451612903226,9.022446236559139,11.80528329104598,2.2750721729448596e-13,7.769371470606695e-11,5.424251022863271e-11,ATMFP2/PLD/AIM1/ATFAH1/KAT2/ACX1/ATR4/ATTSB1/AtFAD7/ATLOX2/AOS/AtNIT2/ATCAD7/ATLOX1/ACX2/ATPAL2/ATPAL1/cPGK2/ADAP,19
GO:0042430,indole-containing compound metabolic process,10/90,86/21198,0.11627906976744186,27.387596899224803,16.01103069080396,3.095605376008548e-12,7.047661572712794e-10,4.920383281866219e-10,AMT1/ATR4/ATTSB1/CYP71B6/TRP3/AtCOMT/ASB1/AtNIT2/AIG2/ATMAPK3,10
GO:0072330,monocarboxylic acid biosynthetic process,13/90,245/21198,0.053061224489795916,12.497687074829932,11.819669475127286,3.5671861835056354e-11,6.090970408335872e-09,4.252461424021192e-09,AIM1/KAT2/ACX1/ATR4/ATTSB1/AtFAD7/ATLOX2/AOS/AtNIT2/ATLOX1/ATPAL2/ATPAL1/ADAP,13
GO:0042435,indole-containing compound biosynthetic process,8/90,59/21198,0.13559322033898305,31.936723163841805,15.537924590905671,1.4277924103134985e-10,1.9503644324882388e-08,1.3616630776252945e-08,AMT1/ATR4/ATTSB1/TRP3/AtCOMT/ASB1/AtNIT2/ATMAPK3,8
GO:0006631,fatty acid metabolic process,13/90,280/21198,0.04642857142857143,10.93547619047619,10.928046521244665,1.8722253848496504e-10,2.1312165630871852e-08,1.4879264900647223e-08,ATMFP2/PLD/AIM1/ATFAH1/KAT2/ACX1/AtFAD7/ATLOX2/AOS/ATCAD7/ATLOX1/ACX2/ADAP,13
GO:0009072,aromatic amino acid metabolic process,9/90,95/21198,0.09473684210526316,22.313684210526315,13.595123023462325,2.594661587358132e-10,2.5316483773794344e-08,1.7674912768018554e-08,AMT1/ATR4/ATTSB1/TRP3/ASB1/AtDAHP1/ATPAL2/AIG2/AAS,9
GO:0019748,secondary metabolic process,12/90,255/21198,0.047058823529411764,11.083921568627451,10.57827894148231,8.462474996971473e-10,7.224838028664396e-08,5.044080491615892e-08,AT103-1A/ATGSTU19/ATCAD9/ATCHS/AtCOMT/4CL.1/ATCAD7/CCOAMT/ATPAL2/ATPAL1/ATMAPK3/APX1,12
GO:0044550,secondary metabolite biosynthetic process,9/90,126/21198,0.07142857142857142,16.823809523809523,11.632641718370612,3.267487696868312e-09,2.4796601077345077e-07,1.7311952358846144e-07,ATCAD9/ATCHS/AtCOMT/ATCAD7/CCOAMT/ATPAL2/ATPAL1/ATMAPK3/APX1,9
GO:0034440,lipid oxidation,7/90,56/21198,0.125,29.441666666666666,13.915888276495949,3.841467179378425e-09,2.623722083515464e-07,1.8317732971141334e-07,ATMFP2/AIM1/KAT2/ACX1/ATLOX2/ATLOX1/ACX2,7
GO:0009695,jasmonic acid biosynthetic process,6/90,34/21198,0.17647058823529413,41.564705882352946,15.456950830246402,6.0452346915759315e-09,3.595662711903747e-07,2.5103416945247703e-07,AIM1/KAT2/ACX1/ATLOX2/AOS/ATLOX1,6
GO:0044248,cellular catabolic process,14/90,452/21198,0.030973451327433628,7.2952802359882005,8.833890467860845,6.783948539136948e-09,3.595662711903747e-07,2.5103416945247703e-07,AT103-1A/ATGSTU19/ATMFP2/PLD/AIM1/KAT2/ACX1/RNS2/ACX2/ATPAL2/ATPAL1/APX1/AAS/PLDBETA,14
GO:0009698,phenylpropanoid metabolic process,9/90,137/21198,0.06569343065693431,15.472992700729929,11.097216130072141,6.8438675336381705e-09,3.595662711903747e-07,2.5103416945247703e-07,ATCAD9/ATCHS/AtCOMT/4CL.1/ATCAD7/CCOAMT/ATPAL2/ATPAL1/APX1,9
GO:0009620,response to fungus,13/90,379/21198,0.03430079155672823,8.078979771328056,9.080196679707537,7.371122104632361e-09,3.596054569617073e-07,2.5106152732319247e-07,LTI30/ACO4/ACX1/ATR4/ATHCHIB/ATLOX2/AOS/ATCHIA/AT-HSC70-1/4CL.1/ATNR2/AtLEA14/ATNPR1,13
GO:0006586,indolalkylamine metabolic process,6/90,36/21198,0.16666666666666666,39.25555555555555,15.000382053526991,8.695828647760036e-09,3.95950064428007e-07,2.764358159603717e-07,AMT1/ATR4/ATTSB1/TRP3/ASB1/AIG2,6
GO:0001676,long-chain fatty acid metabolic process,7/90,66/21198,0.10606060606060606,24.98080808080808,12.740908361038962,1.246479948694908e-08,5.320911280991388e-07,3.714838268149956e-07,AIM1/KAT2/ACX1/ATLOX2/AOS/ATLOX1/ACX2,7
GO:0009699,phenylpropanoid biosynthetic process,8/90,104/21198,0.07692307692307693,18.11794871794872,11.42677909713768,1.4203007741551508e-08,5.706267227929224e-07,3.9838777132649126e-07,ATCAD9/ATCHS/AtCOMT/ATCAD7/CCOAMT/ATPAL2/ATPAL1/APX1,8
GO:0042759,long-chain fatty acid biosynthetic process,6/90,41/21198,0.14634146341463414,34.46829268292683,14.006620293092624,1.973555203016749e-08,7.488545575891331e-07,5.228190099219809e-07,AIM1/KAT2/ACX1/ATLOX2/AOS/ATLOX1,6
GO:0140546,defense response to symbiont,13/90,419/21198,0.031026252983293555,7.307716785998409,8.515335963461565,2.4178147682545522e-08,8.691407824830837e-07,6.067978338057132e-07,ATGRP8/Rem1.3/PR-5/NDR1/ATR4/AtCML24/ATHCHIB/ATCHIA/ATCAD7/AtBG2/cPGK2/ATNPR1/ATERF-4,13
GO:0009642,response to light intensity,9/90,164/21198,0.054878048780487805,12.925609756097561,10.0109777205189,3.29227206553213e-08,1.1243109103792223e-06,7.849469714137133e-07,ATFSD1/AtSOD1/ATFKBP62/ATCAL4/AtCML24/ACT2/ATCHIA/AtLEA14/MSP-1,9
GO:0000162,tryptophan biosynthetic process,5/90,23/21198,0.21739130434782608,51.20289855072463,15.729536046214468,3.905498107916415e-08,1.212479639866778e-06,8.465026999455197e-07,AMT1/ATR4/ATTSB1/TRP3/ASB1,5
GO:0046219,indolalkylamine biosynthetic process,5/90,23/21198,0.21739130434782608,51.20289855072463,15.729536046214468,3.905498107916415e-08,1.212479639866778e-06,8.465026999455197e-07,AMT1/ATR4/ATTSB1/TRP3/ASB1,5
GO:0006979,response to oxidative stress,13/90,464/21198,0.028017241379310345,6.598994252873563,7.962737092480472,7.954094433655068e-08,2.3620202166027877e-06,1.6490639718287168e-06,ATFSD1/AT103-1A/ATGSTU19/AtSOD1/ATNDK1/AtCML24/ATTSB1/ATCHS/AT0ZI1/ATPAL2/ATPAL1/ATMAPK3/APX1,13
GO:0009694,jasmonic acid metabolic process,6/90,55/21198,0.10909090909090909,25.694545454545455,11.973854826386777,1.213285520339084e-07,3.452808376631643e-06,2.410606757515812e-06,AIM1/KAT2/ACX1/ATLOX2/AOS/ATLOX1,6
GO:0030258,lipid modification,7/90,96/21198,0.07291666666666667,17.174305555555556,10.37132783304504,1.7211955316989665e-07,4.702306192601577e-06,3.282954003619503e-06,ATMFP2/AIM1/KAT2/ACX1/ATLOX2/ATLOX1/ACX2,7
GO:0009073,aromatic amino acid family biosynthetic process,6/90,61/21198,0.09836065573770492,23.167213114754098,11.321116310742983,2.2769696276913458e-07,5.981424060435343e-06,4.175980734186963e-06,AMT1/ATR4/ATTSB1/TRP3/ASB1/AtDAHP1,6
GO:0072329,monocarboxylic acid catabolic process,6/90,65/21198,0.09230769230769231,21.741538461538465,10.935835777262382,3.3414755492906637e-07,8.452695556168605e-06,5.901319391144916e-06,ATMFP2/AIM1/KAT2/ACX1/ACX2/ATPAL1,6
GO:0009808,lignin metabolic process,6/90,67/21198,0.08955223880597014,21.092537313432835,10.755907823623689,4.0098249946816813e-07,9.781108826312816e-06,6.828762115003013e-06,ATCAD9/AtCOMT/ATCAD7/CCOAMT/ATPAL1/APX1,6
GO:0044242,cellular lipid catabolic process,7/90,111/21198,0.06306306306306306,14.85345345345345,9.555359961994752,4.6587019414662415e-07,1.0608152809178149e-05,7.406169719592667e-06,ATMFP2/PLD/AIM1/KAT2/ACX1/ACX2/PLDBETA,7
GO:0009850,auxin metabolic process,6/90,69/21198,0.08695652173913043,20.481159420289856,10.583633347236702,4.784106712463757e-07,1.0608152809178149e-05,7.406169719592667e-06,AMT1/ATR4/ATTSB1/IAR3/ASB1/AtNIT2,6
GO:0006633,fatty acid biosynthetic process,8/90,164/21198,0.04878048780487805,11.489430894308942,8.805374411162346,4.893779889410085e-07,1.0608152809178149e-05,7.406169719592667e-06,AIM1/KAT2/ACX1/AtFAD7/ATLOX2/AOS/ATLOX1/ADAP,8
GO:0016054,organic acid catabolic process,8/90,165/21198,0.048484848484848485,11.419797979797979,8.773756394845975,5.125461825810818e-07,1.0608152809178149e-05,7.406169719592667e-06,ATMFP2/AIM1/KAT2/ACX1/ACX2/ATPAL2/ATPAL1/AAS,8
GO:0046395,carboxylic acid catabolic process,8/90,165/21198,0.048484848484848485,11.419797979797979,8.773756394845975,5.125461825810818e-07,1.0608152809178149e-05,7.406169719592667e-06,ATMFP2/AIM1/KAT2/ACX1/ACX2/ATPAL2/ATPAL1/AAS,8
GO:0042446,hormone biosynthetic process,6/90,71/21198,0.08450704225352113,19.904225352112675,10.418472646618051,5.676933269590872e-07,1.1403957126854606e-05,7.961767093265218e-06,AMT1/ATR4/ATTSB1/AtCOMT/ASB1/AtNIT2,6
GO:0006635,fatty acid beta-oxidation,5/90,41/21198,0.12195121951219512,28.723577235772357,11.602432881369541,8.190011705764158e-07,1.553827220843589e-05,1.0848173399740245e-05,ATMFP2/AIM1/KAT2/ACX1/ACX2,5
GO:0009851,auxin biosynthetic process,5/90,41/21198,0.12195121951219512,28.723577235772357,11.602432881369541,8.190011705764158e-07,1.553827220843589e-05,1.0848173399740245e-05,AMT1/ATR4/ATTSB1/ASB1/AtNIT2,5
GO:0006576,biogenic amine metabolic process,6/90,76/21198,0.07894736842105263,18.594736842105263,10.033604183527155,8.519742939560249e-07,1.5584329103639264e-05,1.0880328402479136e-05,AMT1/ATR4/ATTSB1/TRP3/ASB1/AIG2,6
GO:0044282,small molecule catabolic process,9/90,241/21198,0.03734439834024896,8.79585062240664,7.94771683383302,8.670636982991098e-07,1.5584329103639264e-05,1.0880328402479136e-05,ATMFP2/AIM1/KAT2/ACX1/URE/ACX2/ATPAL2/ATPAL1/AAS,9
GO:0009309,amine biosynthetic process,5/90,42/21198,0.11904761904761904,28.039682539682538,11.45366209245874,9.265761033761548e-07,1.582128696514784e-05,1.1045762495510477e-05,AMT1/ATR4/ATTSB1/TRP3/ASB1,5
GO:0042401,biogenic amine biosynthetic process,5/90,42/21198,0.11904761904761904,28.039682539682538,11.45366209245874,9.265761033761548e-07,1.582128696514784e-05,1.1045762495510477e-05,AMT1/ATR4/ATTSB1/TRP3/ASB1,5
GO:0016042,lipid catabolic process,7/90,125/21198,0.056,13.189866666666667,8.925358929677024,1.0425371352768539e-06,1.7367143009611984e-05,1.2125014692693578e-05,ATMFP2/PLD/AIM1/KAT2/ACX1/ACX2/PLDBETA,7
GO:0019395,fatty acid oxidation,5/90,46/21198,0.10869565217391304,25.601449275362317,10.90683645421376,1.4732532200685526e-06,2.395790355492432e-05,1.6726408739124167e-05,ATMFP2/AIM1/KAT2/ACX1/ACX2,5
GO:0009062,fatty acid catabolic process,5/90,48/21198,0.10416666666666667,24.53472222222222,10.658827198220418,1.8280905329953144e-06,2.903687986129767e-05,2.027233810151475e-05,ATMFP2/AIM1/KAT2/ACX1/ACX2,5
GO:0042742,defense response to bacterium,11/90,434/21198,0.02534562211981567,5.96973886328725,6.830583987456024,2.2730287854403125e-06,3.5283605919448487e-05,2.4633541622116307e-05,AtSOD1/NDR1/ATR4/ATHLECRK/TRP3/AT-HSC70-1/ATLOX1/AIG2/ATNPR1/ATERF-4/PLDBETA,11
GO:0031408,oxylipin biosynthetic process,4/90,23/21198,0.17391304347826086,40.96231884057971,12.520964980898317,2.529064783997114e-06,3.838558327711175e-05,2.6799212798846617e-05,ATLOX2/AOS/ATLOX1/ATOPR1,4
GO:0009809,lignin biosynthetic process,5/90,54/21198,0.09259259259259259,21.80864197530864,9.997282275932402,3.3093877200501553e-06,4.913721332161426e-05,3.4305552338277354e-05,ATCAD9/AtCOMT/ATCAD7/CCOAMT/APX1,5
GO:0042445,hormone metabolic process,7/90,150/21198,0.04666666666666667,10.991555555555555,8.018778760264865,3.529573251900008e-06,5.107666799384641e-05,3.565959867644668e-05,AMT1/ATR4/ATTSB1/IAR3/AtCOMT/ASB1/AtNIT2,7
